Name,SMILES,RDKit2D_BCUT2D_MRLOW,RDKit2D_Ipc,Mordred2D_ABC,Mordred2D_SpAbs_A,Mordred2D_SpAD_A,Mordred2D_LogEE_A,Mordred2D_VE1_A,Mordred2D_VE3_A,Mordred2D_ATS0dv,Mordred2D_ATS1dv,Mordred2D_ATS3dv,Mordred2D_ATS5dv,Mordred2D_ATS6d,Mordred2D_ATS4m,Mordred2D_VE2_DzZ,Mordred2D_VR1_DzZ,Mordred2D_SpAbs_Dt,Mordred2D_SpMax_Dt,Mordred2D_SpDiam_Dt,Mordred2D_SpAD_Dt,Mordred2D_LogEE_Dt,Mordred2D_DetourIndex,Mordred2D_VR1_D,Mordred2D_ECIndex,Mordred2D_IC5,Mordred2D_TIC1,Mordred2D_TIC2,Mordred2D_TIC3,Mordred2D_TIC4,Mordred2D_TIC5,Mordred2D_BIC0,Mordred2D_ZMIC1,Mordred2D_FilterItLogS,Mordred2D_MPC10,Mordred2D_piPC1,Mordred2D_piPC2,Mordred2D_piPC3,Mordred2D_piPC10,Mordred2D_TpiPC10,Mordred2D_GGI5,ChemInfo_RC1,ChemInfo_RC2,ChemInfo_RC3,ChemInfo_DZPE,TC,PC
"3,6-methano-1,4-cyclohexadiene",C1C2C=CC1C=C2,0.731885605,97.50884197,5.656854249,9.627213005,9.627213005,2.950502536,2.622265763,0.607363795,58,66,18,0,0,63.669312,0.376699348,21.67944887,59.33248537,29.66624268,36.41881437,59.33248537,29.66624268,103,21.65622282,40,3.139572262,32.60335893,36.60335893,41.84847143,47.09358393,47.09358393,0.23904306,22.48591427,-0.327661385,0,2.397895273,2.772588722,3.218875825,0,5.030437921,0,4.28563,3.58747,3.16723,0.128996,576.2910457,4526816.338
"1,3,5-cycloheptatriene",C1=CC=CCC=C1,1.406057002,58.9741478,4.949747468,8.987918415,8.987918415,2.830871903,2.645751311,0.616280131,58,57,57,0,0,202.857984,0.377846543,18.53524691,60,30,36.69202147,60,30,105,18.52025918,42,3.506890596,31.09358393,40.60335893,44.60335893,48.60335893,52.60335893,0.23904306,22.36567926,-0.327661385,0,2.397895273,2.63905733,2.944438979,0,5.003946306,0,3.67138,3.66878,2.00853,0.128405,598.2397988,7035683.501
1-butylcyclopentene,CCCCC1=CCCC1,0.760026822,187.4702679,6.363961031,11.43452456,11.43452456,3.083774966,2.733656374,0.900279529,50,52,28,13,49,1012.062077,0.327891726,29.09174962,68.96989226,34.48494613,51.83729427,68.96989226,34.48494613,151,28.93156318,86,3.97366069,47.98327081,78.32196723,95.34151724,99.34151724,99.34151724,0.200552128,23.37644179,-2.576199361,0,2.397895273,2.63905733,2.833213344,0,4.584967479,0.08,4.59192,0.62073,0.58984,0.231416,629.2710424,2751027.135
1-methylcyclohexene,CC1=CCCCC1,0.701511426,47.19725257,5.059137268,8.720566233,8.720566233,2.844304688,2.594165047,0.596589766,42,42,22,0,6,395.636137,0.374734623,19.46913515,51.62328572,25.81164286,34.91599912,51.62328572,25.81164286,90,19.28730762,45,3.576617645,38.65687495,57.95573525,63.95573525,67.95573525,67.95573525,0.219682511,17.47469193,-1.598915367,0,2.197224577,2.48490665,2.564949357,0,4.234106505,0,4.46932,2.24514,1.60545,0.174965,585.4637286,3434490.352
2-methyltetradecane,CCCCCCCCCCCCC(C)C,0.505304628,1857.300104,10.11827454,17.86280854,17.86280854,3.523833636,3.55412273,1.67357337,56,54,44,36,160,2258.303891,0.254078704,58.03491877,151.7684011,75.88420056,120.9306182,151.7684011,75.88420056,548,58.03491877,279,4.017592448,58.25704072,103.8995304,140.090879,165.8884041,188.8268451,0.163563578,49.71639343,-5.549397512,5,2.708050201,2.708050201,2.564949357,1.791759469,4.718498871,0.111111111,2.50677,0.08869,0.08806,0.447239,699.3106574,1510010.935
4-methylcyclohexene,C[C@@H]1CC=CCC1,0.526854103,47.19725257,5.059137268,8.720566233,8.720566233,2.844304688,2.594165047,0.596589766,40,40,24,0,3,387.593305,0.375374522,19.31239391,51.62328572,25.81164286,34.91599912,51.62328572,25.81164286,90,19.28730762,45,3.681880803,41.49134181,61.95573525,67.95573525,69.95573525,69.95573525,0.219682511,17.78709831,-1.149225367,0,2.197224577,2.397895273,2.48490665,0,4.234106505,0,4.47218,2.2923,1.62827,0.174934,571.7624953,3003378.278
cyclopentacycloheptene,c1ccc2cccc-2cc1,1.840373492,362.1701717,7.737734479,13.36351738,13.36351738,3.252036062,3.01040305,1.102073973,104,118,129,9,10,1138.037046,0.315093441,35.63094419,137.7333026,68.86665128,80.39907969,137.7333026,68.86665128,344,36.05310149,82,4.169925001,25.05865003,37.05865003,63.05865003,75.05865003,75.05865003,0.216157942,33.34470004,-2.821885517,0,2.833213344,3.384390263,3.965563772,0,7.335998058,0,2.84691,1.2511,0.86915,0.146552,756.2233688,3729885.255
"cis-2,2-dimethyl-3-hexene",CC/C=C\C(C)(C)C,0.54221032,36.61600302,5.426503336,8.31284535,8.31284535,2.911428091,2.54201145,0.709812126,42,41,20,3,36,836.642692,0.34719231,22.53964459,36.82652664,18.41326332,28.3813006,36.82652664,18.41326335,71,22.25065969,56,2.916666667,44.73613111,58.26466251,70,70,70,0.200284263,23.1652494,-1.912039465,0,2.197224577,2.48490665,2.397895273,0,3.951243719,0,3.46032,1.07625,1.05085,0.222704,557.1272234,2719605.236
cis-3-decene,CCCCCC/C=C\CC,0.673766189,175.076748,6.363961031,12.05334837,12.05334837,3.105180342,2.965687107,1.087108745,44,41,29,20,72,1219.90983,0.310802421,30.73554713,68.68574351,34.34287175,54.77460085,68.68574351,34.34287175,165,30.68952471,122,4.189898095,56.14806784,93.69694286,119.6969429,125.6969429,125.6969429,0.187144143,27.1587345,-3.145629115,0,2.397895273,2.397895273,2.397895273,0,4.343805422,0.055555556,4.21818,0.30582,0.29814,0.280934,617.5558211,2097950.219
"cis-4,4-dimethyl-2-pentene",C/C=C\C(C)(C)C,0.543311533,18.14170945,4.719396555,6.720566233,6.720566233,2.779032983,2.42522058,0.529247537,38,36,13,0,27,654.025179,0.371635911,18.35657075,27.27052451,13.63526225,20.45981537,27.27052451,13.63526537,46,18.20070075,38,2.580931708,40.46422837,52.19956586,54.19956586,54.19956586,54.19956586,0.209068641,19.78804626,-1.484757972,0,2.079441542,2.397895273,2.197224577,0,3.663561646,0,3.87607,1.70434,1.62548,0.193831,529.7996848,2930578.224
cis-3-nonene,CCCCC/C=C\CC,0.728064014,103.687916,5.656854249,10.62750303,10.62750303,2.997413726,2.823595516,0.932650563,40,37,25,15,57,1023.153101,0.327479206,26.02124549,55.48437864,27.74218932,44.32390806,55.48437864,27.74218932,120,25.92789988,96,4.032303243,51.62707506,85.36241255,106.8721876,108.8721876,108.8721876,0.193126721,24.06661484,-2.726269172,0,2.302585093,2.302585093,2.302585093,0,4.158883083,0.055555556,4.6262,0.4305,0.4141,0.252313,595.6883723,2360274.807
cis-4-decene,CCCCC/C=C\CCC,0.727323241,175.076748,6.363961031,12.05334837,12.05334837,3.105180342,2.965687107,1.087108745,44,41,31,19,70,1208.818806,0.310411911,30.87449905,68.68574351,34.34287175,54.77460085,68.68574351,34.34287175,165,30.68952471,122,4.189898095,56.14806784,91.69694286,111.6969429,123.6969429,125.6969429,0.187144143,27.1587345,-3.145629115,0,2.397895273,2.397895273,2.397895273,0,4.382026635,0.055555556,3.18124,0.35222,0.34172,0.281031,615.8508388,2133412.742
cis-5-decene,CCCC/C=C\CCCC,0.792755999,175.076748,6.363961031,12.05334837,12.05334837,3.105180342,2.965687107,1.087108745,44,41,32,18,68,1208.818806,0.310266262,30.92896801,68.68574351,34.34287175,54.77460085,68.68574351,34.34287175,165,30.68952471,122,3.189898095,56.14806784,87.69694286,95.69694286,95.69694286,95.69694286,0.187144143,27.1587345,-3.145629115,0,2.397895273,2.397895273,2.397895273,0,4.394449155,0.055555556,2.12598,0.40517,0.36633,0.281158,617.603187,2.18E+06
